NFL '26 Survey — By Country (Col M),,,,,,,,,,,,,
Breakdown: Tidy Country,,,,,,,,,,,,,
Question,Response,Total N,Global Average %,Australia %,Brazil %,DACH %,France %,Italy %,Japan %,Mexico %,RoW %,Spain %,United Kingdom %
,"I was waiting for a sale, discount, or promotion",1460,28.40%,23.80%,12.70%,25.80%,47.20%,46.00%,9.80%,47.90%,22.70%,36.00%,30.60%
,I wasn't interested in the games earlier in the season,380,7.40%,3.60%,8.80%,2.80%,6.80%,7.00%,7.80%,9.70%,12.30%,3.60%,3.50%
,Other (please specify):,458,8.90%,20.20%,2.90%,5.20%,13.10%,9.10%,7.20%,7.20%,12.50%,9.50%,13.50%
,The games I wanted to watch didn't fit my schedule,199,3.90%,2.40%,2.00%,3.20%,2.80%,3.50%,5.20%,3.10%,4.30%,4.50%,1.70%
,Base (answered),5148,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
"During this years regular season, did you attend, or want to attend, an international game","No, I didn’t try and attend an international NFL game",8496,47.30%,72.00%,27.60%,43.00%,35.90%,57.10%,62.80%,50.50%,53.90%,22.10%,34.00%
,"No, I wanted to attend but couldn’t get tickets",3704,20.60%,8.00%,22.10%,32.80%,26.30%,24.70%,2.50%,18.50%,16.00%,30.50%,18.10%
,"No, I wanted to attend but something prevented me",2868,16.00%,15.80%,22.40%,8.50%,26.00%,7.30%,19.00%,18.70%,20.20%,15.60%,17.80%
,"Yes, I attended a game",2906,16.20%,4.30%,27.90%,15.70%,11.80%,11.00%,15.70%,12.20%,9.90%,31.70%,30.10%
,Base (answered),17974,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How appealing do you find the following features? - Download on-demand games and non-live ,Don't know,2007,11.50%,10.80%,21.40%,6.40%,9.40%,8.60%,19.30%,9.70%,16.80%,7.60%,8.70%
,Not at all appealing,1290,7.40%,6.90%,8.30%,7.70%,9.60%,7.50%,5.00%,6.80%,10.50%,4.70%,5.00%
,Not very appealing,2389,13.70%,13.00%,9.50%,15.30%,19.70%,14.80%,16.80%,13.90%,12.50%,8.70%,10.60%
,Somewhat appealing,5312,30.40%,31.40%,25.20%,30.30%,27.60%,34.90%,33.70%,30.70%,26.80%,28.20%,34.50%
,Very appealing,6500,37.10%,37.90%,35.60%,40.30%,33.60%,34.20%,25.30%,38.90%,33.40%,50.70%,41.10%
,Base (answered),17498,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How appealing do you find the following features? - Portability (access your subscription ,Don't know,1576,9.00%,9.40%,13.80%,4.40%,5.30%,8.50%,22.70%,5.60%,8.30%,10.00%,9.30%
,Not at all appealing,898,5.10%,5.30%,3.30%,5.60%,7.00%,6.00%,7.40%,3.60%,3.70%,6.10%,4.70%
,Not very appealing,1507,8.60%,4.80%,2.40%,10.50%,11.60%,14.20%,16.30%,6.80%,4.40%,7.70%,6.30%
,Somewhat appealing,4269,24.40%,25.60%,17.30%,27.40%,21.40%,26.40%,26.50%,20.70%,20.90%,23.70%,28.40%
,Very appealing,9248,52.90%,55.00%,63.20%,52.10%,54.80%,45.00%,27.10%,63.30%,62.70%,52.40%,51.20%
,Base (answered),17498,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How appealing do you find the following features? - NFL Films original content (e.g. Coach,Don't know,1498,8.60%,6.70%,14.30%,4.30%,6.30%,5.70%,21.00%,6.40%,10.30%,9.20%,5.20%
,Not at all appealing,1436,8.20%,9.40%,8.10%,8.40%,10.60%,6.60%,7.00%,5.90%,10.30%,8.30%,7.20%
,Not very appealing,2747,15.70%,14.20%,8.60%,18.50%,17.50%,17.10%,19.70%,10.80%,15.40%,14.70%,13.10%
,Somewhat appealing,6512,37.20%,41.20%,24.50%,39.30%,33.30%,39.70%,33.70%,33.70%,37.00%,34.40%,44.70%
,Very appealing,5305,30.30%,28.50%,44.70%,29.50%,32.30%,30.90%,18.70%,43.20%,27.10%,33.40%,29.70%
,Base (answered),17498,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How appealing do you find the following features? - Next Gen Stats enhanced broadcast,Don't know,3692,21.10%,14.50%,24.20%,17.80%,15.10%,19.80%,45.00%,14.90%,21.30%,21.20%,13.70%
,Not at all appealing,2183,12.50%,18.10%,6.40%,17.20%,14.90%,9.30%,7.90%,4.50%,14.10%,9.50%,15.30%
,Not very appealing,3439,19.70%,18.40%,6.40%,25.30%,27.20%,25.50%,17.00%,12.90%,18.10%,15.00%,22.40%
,Somewhat appealing,5292,30.20%,35.20%,25.40%,28.70%,27.20%,33.40%,21.40%,35.10%,30.00%,33.40%,34.50%
,Very appealing,2892,16.50%,13.70%,37.50%,11.00%,15.70%,11.90%,8.80%,32.60%,16.50%,20.90%,14.10%
,Base (answered),17498,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How appealing do you find the following features? - Multiview (watch 4 games simultaneousl,Don't know,1719,9.80%,9.10%,9.50%,4.60%,7.10%,7.20%,19.00%,6.20%,14.50%,9.30%,9.70%
